"","z","y","y.0","y.1","mu.0","mu.1","e"
"1",1,13.6673889785714,8.76348640855627,13.6673889785714,8.02319774283569,13.4228548499808,0.393899820532407
"2",1,7.80399567036485,3.99147985929463,7.80399567036485,3.74909044868219,9.49746004980197,0.341826575245609
"3",1,9.42166237105734,2.56318743439681,9.42166237105734,3.48866529643277,11.0804646416945,0.322149672183243
"4",0,8.32793085326434,8.32793085326434,11.6669429345418,7.9468650760272,10.5316806803267,0.42249776208505
"5",0,6.45186425730592,6.45186425730592,8.49765953213194,7.64505635560074,8.34928018263628,0.399395037576118
"6",0,9.11430131373769,9.11430131373769,12.2633038000737,8.94087451546501,13.3318533912331,0.426518927385055
"7",0,7.15204575945274,7.15204575945274,13.2656002265647,5.39162430679291,14.3485750639969,0.38368062994975
"8",0,3.67226781919201,3.67226781919201,8.06286902678024,3.67879096288675,8.57369838668831,0.348876714807744
"9",0,3.41408480327819,3.41408480327819,11.4059518271066,3.36700766486293,10.2230649201265,0.385089686139103
"10",0,2.68661116954367,2.68661116954367,12.8267572619491,2.61898396437298,12.5769268918507,0.366301697998625
"11",0,-0.40889710074846,-0.40889710074846,6.59926410931098,0.390608498854795,6.0005608507438,0.30708401235457
"12",1,5.14189773961278,0.309641147052186,5.14189773961278,1.18793100880787,5.61575883456088,0.30701537570182
"13",1,11.7931223045576,8.15115206472217,11.7931223045576,5.83213120617546,10.4457320629685,0.408059644401361
"14",0,6.42756561698808,6.42756561698808,11.0958477188779,5.66787376434993,11.4085122126826,0.289205782454979
"15",1,5.77100672679522,-0.0441609617624507,5.77100672679522,0.519850227661974,6.09272411589614,0.193931560202118
"16",0,0.578948453405743,0.578948453405743,5.59105874366812,-0.449031377531176,4.85974826048513,0.29284958739002
"17",0,8.95613665458444,8.95613665458444,7.16072924045186,8.33165684963533,8.65976321230613,0.400856504617812
"18",0,13.2826484498482,13.2826484498482,14.490050532341,12.8727947428288,14.2022606927547,0.395965495860109
"19",1,6.46866048199667,6.36251382241585,6.46866048199667,5.80638740760042,7.29800211337601,0.35239892605648
"20",1,7.90114981994468,7.79849898062437,7.90114981994468,7.34941962913421,8.31169804459563,0.392391996350864
"21",1,8.54235597435422,5.64491952310506,8.54235597435422,5.53063246014956,7.77455667676639,0.385883712844346
"22",0,18.4782391505357,18.4782391505357,16.1557165174498,16.8570434619669,16.534292529124,0.389489516948082
"23",0,4.34270268673868,4.34270268673868,5.70862333291776,3.96572097836475,7.09556080676279,0.335181195875192
"24",0,0.499753189477328,0.499753189477328,8.09617435560826,-0.12217315642504,5.90118396210409,0.301785743032093
"25",0,2.46980993392334,2.46980993392334,8.60312936704935,2.96934047414782,7.99361349992155,0.346221227116761
"26",0,7.320688939467,7.320688939467,12.9720329520943,6.49463702730195,12.3009447650593,0.390282388259645
"27",0,6.38642820650967,6.38642820650967,13.6217225687556,7.21335152908958,16.1114344606378,0.3963382797349
"28",1,10.8029950010741,7.79223390663839,10.8029950010741,7.24949986809066,11.5231061994448,0.398978829054035
"29",1,10.359304600524,0.449791138877172,10.359304600524,0.154455827019419,10.6240277955793,0.31260365308052
"30",0,5.32536446890402,5.32536446890402,7.64001514405199,5.03286723881948,9.24990897072574,0.364815220508589
"31",0,4.32606109312116,4.32606109312116,8.68876993444724,4.57066725853057,8.16065218027214,0.398540733370721
"32",1,8.82356354165836,8.33638909721039,8.82356354165836,8.47331103927933,9.21282615527431,0.384509360582803
"33",0,4.8187096162805,4.8187096162805,7.32111586015397,3.6995568369065,9.12356995474661,0.410111255518326
"34",0,2.08247601957196,2.08247601957196,6.02335464532284,2.24136880928095,6.714184440472,0.328324219023406
"35",0,4.96925852909122,4.96925852909122,8.29241208459261,4.67064771361713,8.46823552874729,0.317574162677722
"36",0,4.36091039785315,4.36091039785315,6.46633020570019,4.44274486800124,7.5053233484147,0.35013961324393
"37",0,0.812350883908335,0.812350883908335,9.67000666708832,2.87441684903801,7.83801290095805,0.331639687518835
"38",1,10.9304755950781,5.6419130722556,10.9304755950781,6.3423822106806,11.1946291960062,0.393413451766424
"39",0,8.3654205888621,8.3654205888621,26.0663845376106,9.06097414417903,23.6912951862277,0.392014764348971
"40",0,1.57434029917945,1.57434029917945,9.37203471871769,3.53442359238317,10.8358905669065,0.36724475522555
"41",0,5.81349019968077,5.81349019968077,8.87935733354417,4.97394762088222,9.13634296411212,0.366440713489468
"42",0,4.46679796940956,4.46679796940956,6.66521103193088,3.57675674956822,7.71245787764254,0.3495612979782
"43",1,20.0944933945865,4.67766885841447,20.0944933945865,3.96811559873886,18.1455244369345,0.325100618035188
"44",1,18.9975615934484,10.0781093009268,18.9975615934484,10.2910411473481,18.1188291899208,0.399682910268169
"45",1,10.3143934848561,11.9555182582686,10.3143934848561,11.4863805824554,12.3839723759,0.377989016677549
"46",0,8.2629526596368,8.2629526596368,7.22679727485127,7.87605439060442,8.27041800700355,0.3997256824336
"47",0,5.70241273120047,5.70241273120047,7.78547039323441,5.17179387009148,8.15698211186615,0.347117746801031
"48",0,1.08582095159251,1.08582095159251,13.211899707586,0.186937277700002,11.4159838853337,0.294485196580642
"49",0,6.83280932205043,6.83280932205043,8.71883565011687,5.24858668481602,8.54902887413392,0.343963729284489
"50",1,5.47923780271961,5.59812108062659,5.47923780271961,5.80173303031517,7.58272614183422,0.364513053390855
"51",1,10.3498257279103,8.85346869668536,10.3498257279103,8.17404880701566,11.0184740994689,0.420735391928391
"52",1,13.2241955723668,6.1869812232177,13.2241955723668,7.86089237473811,11.156184364959,0.386105142350863
"53",0,-0.144033053027667,-0.144033053027667,6.39188477089774,-0.0299524378413771,5.8634127972552,0.315321948597221
